[recv_probe] listening 127.0.0.1:5000  (Ctrl+C Í£Ö¹)
            µÈ´ý Host ¶Ë send_eth.py ·¢ËÍ SpiFrame(182B)...
[recv_probe] ok=301 (4.6fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.5fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.5fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.4fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.3fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.3fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.2fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.1fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.1fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (4.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.9fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.8fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.8fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.7fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.7fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.7fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.6fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.6fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.5fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.5fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.4fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.4fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.4fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.3fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.3fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.2fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.2fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.2fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.1fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.1fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.1fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (3.0fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
[recv_probe] ok=301 (2.9fps) crc_err=0 magic_err=0 len_err=0 drops=0 last_seq=300
